c_inst_code,c_inst_name_hz,c_inst_name_code,c_inst_type_code,c_inst_begin_dy,c_inst_addr_id,c_source
3933,天慶禪院,2554,2,15,100409,64948
3934,崇夏寺,2555,2,15,100658,64948
3935,華嚴禪院,2556,2,15,12232,64847
3936,寶雲寺,702,2,15,12232,2504
3937,萬固寺,1373,2,15,11927,64847
3938,香山寺,1626,2,15,100409,64847
3939,左街廣福禪院,2560,2,15,100409,64847
3940,休糧禪院,2561,2,15,100561,2504
3941,報先寺,2562,2,15,100658,64847
3942,福嚴寺,112,2,15,12232,64847
3943,延唐寺,773,2,15,12231,64847
3944,崇明寺,728,2,15,100036,64847
3945,永安寺,1006,2,15,12688,64847
3946,天寧萬壽寺,602,2,15,100437,64847
3947,崇勝寺,2568,2,15,11903,64847
3948,福昌寺,1242,2,15,11902,64847
3949,延慶化城寺,2570,2,15,11480,64847
